,Show_Id,Type,Title,Director,Cast,Country,Date_Added,Release_Year,Rating,Duration,Listed_In,Description
5752,s5753,TV Show,Spotless,"Raúl Campos, Jan Suter","Marc-André Grondin, Denis Ménochet, Miranda Raison, Doug Allen, Liam Garrigan, Ciarán Owens, Kate Magowan, Tanya Fear, Naomi Radcliffe, Lucy Akhurst, Jemma Donovan, Niall Hayes, Brendan Coyle","United Kingdom, France","October 15, 2016",2015,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",The Law-Abiding Owner Of A Crime Scene Cleaning Service Is Forced Into Business With A Powerful Mob Boss Thanks To His Irresponsible Older Brother.
5753,s5754,TV Show,Vampire Knight,"Raúl Campos, Jan Suter","Daisuke Kishio, Ezra Weisz, Mamoru Miyano, Vic Mignogna, Yui Horie, Mela Lee, Risa Mizuno, Stephanie Sheh, Junichi Suwabe, Troy Baker, Jun Fukuyama, Bryce Papenbrook, Mai Nakahara, Laura Bailey, Soichiro Hoshi, Steve Staley, Susumu Chiba, Spike Spencer, Hiroki Yasumoto, Travis Willingham, Fumiko Orikasa, Wendee Lee",Japan,"October 15, 2016",2008,TV-14,2 Seasons,"Anime Series, International TV Shows, Romantic TV Shows","At Cross Academy, Two Student Disciplinary Committee Members Are Tasked With Keeping The Peace Between A Human Class And A Night Class Of Vampires."
5754,s5755,Movie,Sky Ladder: The Art of Cai Guo-Qiang,Kevin MacDonald,Cai Guo-Qiang,United States,"October 14, 2016",2016,TV-MA,80 min,Documentaries,"Known For His Spectacular Pyrotechnic Displays, Chinese Artist Cai Guo-Qiang Creates His Most Ambitious Project Yet In This Breathtaking Documentary."
5755,s5756,Movie,Mascots,Christopher Guest,"Carrie Aizley, Sarah Baker, Bob Balaban, Ed Begley Jr., Tom Bennett, Maria Blasucci, Jennifer Coolidge, Kerry Godliman, Matt Griesser, Christopher Guest, John Michael Higgins, Michael Hitchcock, Don Lake, Jane Lynch, Christopher Moynihan, Chris O'Dowd, Jim Piddock, Parker Posey, Harry Shearer, Fred Willard, Zach Woods, Susan Yeagley",United States,"October 13, 2016",2016,TV-MA,95 min,Comedies,"Eager Contestants Don Big Heads And Furry Suits To Vie For The Title Of World'S Best Mascot In This Offbeat, Comic Romp From Christopher Guest."
5756,s5757,Movie,Justin Timberlake + the Tennessee Kids,Jonathan Demme,Justin Timberlake,United States,"October 12, 2016",2016,TV-MA,90 min,Music & Musicals,"On The Final Nights Of A World Tour, Director Jonathan Demme Captures What Makes The Show Soar: Gifted Musicians, Deft Dancers And A Magnetic Star."
5757,s5758,Movie,13TH,Ava DuVernay,Unknown,United States,"October 7, 2016",2016,TV-MA,101 min,Documentaries,"In This Thought-Provoking Documentary, Scholars, Activists And Politicians Analyze The Criminalization Of African Americans And The U.S. Prison Boom."
5758,s5759,Movie,Russell Peters: Almost Famous,Dave Higby,Russell Peters,United States,"October 7, 2016",2016,TV-MA,73 min,Stand-Up Comedy,"The Comic Comes Home To Toronto To Sound Off On Cultural Quirks, Kids' Furniture And Bathroom Visits, Reveling In All Things Ridiculously Human."
5759,s5760,TV Show,StoryBots Super Songs,"Raúl Campos, Jan Suter","Judy Greer, Jeff Gill, Erin Fitzgerald, Fred Tatasciore, Gregg Spiridellis",United States,"October 7, 2016",2016,TV-Y,1 Season,Kids' TV,"Characters From The Popular Storybots Apps For Early Childhood Education Give Musical Lessons On Math, Science, History, Behaviors, Emotions And More."
5760,s5761,Movie,The Siege of Jadotville,Richie Smyth,"Jamie Dornan, Guillaume Canet, Emmanuelle Seigner, Jason O'Mara, Mikael Persbrandt, Mark Strong, Michael McElhatton, Danny Sapani, Sam Keeley, Ronan Raftery, Mike Noble, Charlie Kelly, Conor MacNeill, Fionn O'Shea, Conor Quinlan, Jordan Mifsud","Ireland, South Africa","October 7, 2016",2016,TV-MA,108 min,"Action & Adventure, Dramas, International Movies","Besieged By Overwhelming Enemy Forces, Irish Soldiers On A U.N. Peacekeeping Mission In Africa Valiantly Defend Their Outpost In This True Story."
5761,s5762,Movie,LEGO Jurassic World: The Indominus Escape,Michael D. Black,"A.J. LoCascio, Sendhil Ramamurthy, Fred Tatasciore, Jake Johnson, Lauren Lapkus, Zachary Levi, BD Wong, David Gunning",United States,"October 4, 2016",2016,TV-Y7,25 min,"Children & Family Movies, Comedies",The Scientists Of Jurassic World Create A Captivating And Terrifying New Creature That Loves Hot Dogs. But What Happens When The Hot Dogs Run Out?
5762,s5763,TV Show,Be with Me,"Raúl Campos, Jan Suter","Jason Tsou, Queen Wei, River Huang, Fabien Yang, Tang Chen-Kang, Figaro Tseng",Taiwan,"October 1, 2016",2015,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","They Were The Boy Band To Beat Until Fame Tore Them Apart. Ten Years Later, Five Friends And An Ex-Love Reunite And Find Themselves Closer Than Ever."
5763,s5764,TV Show,Be with You,"Raúl Campos, Jan Suter","Bobby Dou, Peijia Huang, Nylon Chen, Vivi Lee, Edison Wang, Serena Fang",Taiwan,"October 1, 2016",2015,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","After Reconnecting With Their Girlhood Crushes, Two Sisters Find Their Lives Turned Upside Down By Surprising Revelations And Romantic Intrigue."
5764,s5765,Movie,Bombshell,Riccardo Pilizzeri,"Ande Cunningham, Mark Mitchinson, Mia Pistorius, Nathalie Boltt, Nathan Lovejoy, Colin Moy, Jay Simon, Coen Falke, Greta Gregory, Byron Coll",New Zealand,"October 1, 2016",2016,TV-MA,86 min,Dramas,"In 1985, When A Vessel Protesting Nuclear Testing Is Sunk In New Zealand, Local Police Fight To Prove It Was A Terrorist Plot By Their French Allies."
5765,s5766,Movie,Chatô: The King of Brazil,Guilherme Fontes,"Marco Ricca, Andrea Beltrão, Letícia Sabatella, Leandra Leal, Gabriel Braga Nunes, Paulo Betti, Marcos Oliveira, Eliane Giardini",Brazil,"October 1, 2016",2015,TV-MA,105 min,"Dramas, International Movies","The Romanticized Life Of Media Mogul Assis Chateaubriand Depicts Him As The Star Of A Televised Trial, Where His Passions And Achievements Are Judged."
5766,s5767,TV Show,Fall in Love with Me,"Raúl Campos, Jan Suter","Aaron Yan, Tia Lee, Jack Lee, Katherine Wang, Beatrice Fang, Vince Kao, Chen Bor Jeng",Taiwan,"October 1, 2016",2014,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",The Head Of A Struggling Ad Agency Finds Herself Torn Between A Hotshot Executive And A Kind Stranger – Not Realizing They'Re The Same Person.
5767,s5768,Movie,Harud,Aamir Bashir,"Mohammad Amir Naji, Shahnawaz Bhat, Shamim Basharat, Salma Ashai, Mudessir Ahmed Khan, Rayes Mohiuddin",India,"October 1, 2016",2010,TV-MA,100 min,"Dramas, International Movies","A Young Kashmiri Man Sets Out To Escape To Pakistan And Make Sense Of His Brother'S Death, But He Drifts Aimlessly Until Finding His Brother'S Camera."
5768,s5769,TV Show,Love Cheque Charge,"Raúl Campos, Jan Suter","George Hu, Phoebe Yuan, Hsieh Kun Da, Jay Shih, Smile Weng, Jet Chao, Jessie Chang",Taiwan,"October 1, 2016",2014,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","Three Years After Making A Wild Promise To A Woman In Distress, A Rigid Businessman Runs Into Her Again And Must Decide Whether To Honor His Word."
5769,s5770,TV Show,Masha's Spooky Stories,"Raúl Campos, Jan Suter",Unknown,"United States, Russia","October 1, 2016",2012,TV-Y,1 Season,Kids' TV,"Masha Explains Why There'S No Need To Be Scared Of Things Like Monsters, The Dark, Going To A New School, Thunder And Other Common Childhood Fears."
5770,s5771,Movie,Much Ado About Nothing,Alejandro Fernández Almendras,"Agustín Silva, Paulina García, Daniel Alcaíno, Alejandro Goic, Luis Gnecco, Samuel Landea, Dindi Jane, Isabella Costa, Augusto Schuster, Pilar Ronderos","Chile, United States, France","October 1, 2016",2016,TV-MA,96 min,"Dramas, Independent Movies, International Movies",Carefree College Student Vicente Ends Up In A Desperate Fight For Freedom When A Well-Connected Friend Falsely Accuses Him Of A Hit-And-Run Accident.
5771,s5772,TV Show,Murphy's Law of Love,"Raúl Campos, Jan Suter","Danson Tang, Chia-ying Lee, Jolin Chien, Jenna Wang, Meng-sheng Shen, Wen-lin Fang, Wei Lin, Phoebe Huang",Taiwan,"October 1, 2016",2015,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",An Online Matchmaker Who'S Convinced She'S Living Under A Curse Finds Her Theories On Life And Love Tested When She Meets A Shrewd Divorce Expert.
5772,s5773,Movie,My Big Night,Álex de la Iglesia,"Raphael, Mario Casas, Pepón Nieto, Blanca Suárez, Hugo Silva, Carmen Machi, Luis Callejo, Carlos Areces, Enrique Villén, Santiago Segura, Jaime Ordoñez, Tomás Pozzi, Carolina Bang, Ana Polvorosa, Luis Fernández",Spain,"October 1, 2016",2015,TV-MA,97 min,"Comedies, International Movies, Music & Musicals",An Unemployed Man Gets A Job As An Extra At The Shooting Of A New Year'S Eve Tv Special That'S Beset By Crises And Seems To Go On Forever.
5773,s5774,Movie,My Little Pony Equestria Girls: Legend of Everfree,Ishi Rudell,"Tara Strong, Rebecca Shoichet, Ashleigh Ball, Andrea Libman, Tabitha St. Germain, Cathy Weseluck, Enid-Raye Adams, Brian Doe, Nicole Oliver","United States, Canada","October 1, 2016",2016,TV-Y7,73 min,"Children & Family Movies, Comedies","The Equestria Girls, Human Teen Counterparts To My Little Pony Characters, Head To Camp Everfree, Where They Need A Little Magic To Help Save Summer."
5774,s5775,TV Show,Old Money,David Schalko,"Udo Kier, Sunnyi Melles, Nicholas Ofczarek, Manuel Rubey, Nora von Waldstätten, Thomas Stipsits, Ursula Strauss, Robert Palfrader, Simon Schwarz, Johannes Krisch, Lukas Miko",United States,"October 1, 2016",2015,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas","Backstabbing, Blackmail And Revenge Consume The Dysfunctional Family Of A Wealthy Patriarch As They Compete To Find Him A New Liver At All Costs."
5776,s5777,Movie,Riphagen - The Untouchable,Pieter Kuijpers,"Jeroen van Koningsbrugge, Anna Raadsveld, Sigrid ten Napel, Peter Blok, Bob Stoop, Lisa Zweerman, Kay Greidanus, René Kortekaas, Sieger Sloot, Mark Rietman",Netherlands,"October 1, 2016",2016,TV-14,132 min,"Dramas, International Movies","This Biopic Profiles Andries Riphagen, A Dutch Criminal Who Blackmailed Jews In Hiding During World War Ii And Was Responsible For Hundreds Of Deaths."
5777,s5778,TV Show,Someone Like You,"Raúl Campos, Jan Suter","Kingone Wang, Lorene Ren, Sean Lee, Nita Lei, William Liao",Taiwan,"October 1, 2016",2015,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","After Losing His Sight And His Fiancee In An Accident, A Man Hires A Caregiver Who Mysteriously Sounds – And Looks – Just Like His Late Girlfriend."
5778,s5779,Movie,Umrika,Prashant Nair,"Suraj Sharma, Tony Revolori, Smita Tambe, Adil Hussain, Rajesh Tailang, Prateik Babbar, Pramod Pathak, Amit Sial, Sauraseni Maitra",India,"October 1, 2016",2015,TV-MA,96 min,"Dramas, Independent Movies, International Movies","An Ambitious Man Leaves His Small Indian Village For America. But When His Letters To Home Stop Coming, His Brother Sets Out On His Own Adventure."
5779,s5780,Movie,Unchained: The Untold Story of Freestyle Motocross,"Paul Taublieb, Jon Freeman",Josh Brolin,United States,"October 1, 2016",2016,TV-MA,92 min,"Documentaries, Sports Movies","This Adrenaline-Rush Documentary Traces The Rise Of Freestyle Motocross, Arguably The World'S Most Extreme Sport, And Spotlights Its Pioneers."
5780,s5781,Movie,Welcome Mr. President,Riccardo Milani,"Claudio Bisio, Kasia Smutniak, Beppe Fiorello, Remo Girone, Massimo Popolizio, Cesare Bocci, Omero Antonutti, Michele Alhaique, Franco Ravera, Patrizio Rispo, Piera Degli Esposti, Gianni Cavina",Italy,"October 1, 2016",2013,TV-MA,99 min,"Comedies, International Movies","When Frustrated Politicians Name A Historical Figure As The Next President, An Honest, Humble Man By The Same Name Suddenly Becomes Italy'S Leader."
5781,s5782,TV Show,When I See You Again,"Raúl Campos, Jan Suter","Jasper Liu, Mandy Wei, Jet Chao, Ivy Shao, Tina Chou, Kao Meng-Chieh",Taiwan,"October 1, 2016",2015,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","On A Visit To His Hometown, A Rich Bachelor Seeks Revenge On The Woman Who Broke His Heart 10 Years Ago. But His Plan Doesn'T Go As Expected."
5782,s5783,Movie,Amanda Knox,"Rod Blackhurst, Brian McGinn",Unknown,"Denmark, United States","September 30, 2016",2016,TV-MA,92 min,Documentaries,She Was Twice Convicted And Acquitted Of Murder. Amanda Knox And The People Closest To Her Case Speak Out In This Illuminating Documentary.
5783,s5784,Movie,Audrie & Daisy,"Bonni Cohen, Jon Shenk",Unknown,United States,"September 23, 2016",2016,TV-MA,99 min,Documentaries,"In This Wrenching Documentary, Two Teens Are Sexually Assaulted By Boys They Considered Friends, Humiliated Online And Harassed By Their Communities."
5784,s5785,Movie,Iliza Shlesinger: Confirmed Kills,Bobcat Goldthwait,Iliza Shlesinger,United States,"September 23, 2016",2016,TV-MA,78 min,Stand-Up Comedy,"The Stand-Up Sensation Tackles Tv'S ""Shark Tank,"" What It Means To Be A Woman And How To Deal With The Lawless Party Goblin That Lives In Us All."
5785,s5786,TV Show,VeggieTales in the House,"Raúl Campos, Jan Suter","Phil Vischer, Mike Nawrocki, Rob Paulsen, Tress MacNeille",United States,"September 23, 2016",2016,TV-Y,4 Seasons,Kids' TV,"Bob The Tomato, Larry The Cucumber And Their Veggie Pals Venture Beyond The Kitchen Counter In These Playful Adventures With Christian Themes."
5792,s5793,Movie,ARQ,Tony Elliott,"Robbie Amell, Rachael Taylor, Shaun Benson, Gray Powell, Jacob Neayem, Adam Butcher, Tantoo Cardinal","Canada, United States","September 16, 2016",2016,TV-MA,89 min,"International Movies, Sci-Fi & Fantasy, Thrillers","Trapped In A Lab And Stuck In A Time Loop, A Disoriented Couple Fends Off Masked Raiders While Harboring A New Energy Source That Could Save Humanity."
5793,s5794,Movie,Cedric the Entertainer: Live from the Ville,Troy Miller,Cedric the Entertainer,United States,"September 16, 2016",2016,TV-MA,60 min,Stand-Up Comedy,"Donning His Signature Suit And Fedora, The Dapper Comic Offers A Unique Spin On Getting Old, The Presidential Election And ""Honky Tonk Badonkadonk."""
5795,s5796,Movie,The White Helmets,Orlando von Einsiedel,Unknown,United Kingdom,"September 16, 2016",2016,TV-PG,41 min,Documentaries,"As Daily Airstrikes Pound Civilian Targets In Syria, A Group Of Indomitable First Responders Risk Their Lives To Rescue Victims From The Rubble."
5796,s5797,Movie,Sample This,Dan Forrer,Gene Simmons,United States,"September 15, 2016",2012,TV-14,83 min,"Documentaries, Music & Musicals","This Doc Traces The Impact Of The Incredible Bongo Band'S ""Apache,"" Which Played A Key Role In The Birth Of Hip-Hop After Kool Herc Began Sampling It."
5797,s5798,Movie,Extremis,Dan Krauss,Unknown,United States,"September 13, 2016",2016,TV-PG,25 min,Documentaries,"Witness The Wrenching Emotions That Accompany End-Of-Life Decisions As Doctors, Patients And Families In A Hospital Icu Face Harrowing Choices."
5798,s5799,Movie,Jandino: Whatever it Takes,"Raúl Campos, Jan Suter",Jandino Asporaat,United Kingdom,"September 9, 2016",2016,TV-MA,94 min,Stand-Up Comedy,"Jandino Asporaat Riffs On The Challenges Of Raising Kids And Serenades The Audience With A Rousing Rendition Of ""Sex On Fire"" In His Comedy Show."
5800,s5801,TV Show,Kulipari: An Army of Frogs,"Raúl Campos, Jan Suter","Mark Hamill, Keith David, Wendie Malick, Josh Keaton, Mikey Kelley, Phil LaMarr, Laraine Newman, Jess Harnell, Charles Adler, Amy Margolis, Cree Summer, Lacey Chabert, Rolonda Watts, Kevin Michael Richardson, Candi Milo",United States,"September 2, 2016",2016,TV-Y7,1 Season,Kids' TV,"In A Tale Of Bravery And Heroism, Fearless Frogs Go To War Against The Sinister Scorpions And Spiders That Have Teamed Up To Conquer The Amphibians."
5801,s5802,TV Show,Conspiracy,"Raúl Campos, Jan Suter",Mark Bazeley,United Kingdom,"September 1, 2016",2015,TV-14,1 Season,"British TV Shows, Docuseries","Skeptics And Others Discuss Widely Held Conspiracy Theories Involving Aliens, Government Cover-Ups, Secret Assassinations And Other Intrigues."
5802,s5803,TV Show,Dead Set,"Raúl Campos, Jan Suter","Jaime Winstone, Andy Nyman, Kevin Eldon, Davina McCall, Warren Brown, Riz Ahmed, Beth Cordingly, Kathleen McDermott, Raj Ghatak",United Kingdom,"September 1, 2016",2008,TV-MA,1 Season,"British TV Shows, TV Horror, TV Thrillers","While The Housemates In The Big Brother House Remain Oblivious, Fast-Moving Hordes Of The Undead Decimate The Studio Compound."
5803,s5804,TV Show,Forensic Files,"Raúl Campos, Jan Suter",Peter Thomas,United States,"September 1, 2016",2011,TV-MA,9 Seasons,"Crime TV Shows, Docuseries, Science & Nature TV",Detectives And Crime Lab Technicians Use The Latest And Most Fascinating Procedures To Solve Crimes In This Documentary-Style Show.
5804,s5805,Movie,Saudi Arabia Uncovered,"Raúl Campos, Jan Suter",Unknown,United Kingdom,"September 1, 2016",2016,TV-14,52 min,Documentaries,"Undercover Cameras Expose Public Floggings, Executions And Other Brutality In Saudi Arabia, And Introduce Those Risking Their Own Lives For Change."
5805,s5806,TV Show,The Fierce Wife,"Raúl Campos, Jan Suter","Sonia Sui, James Wen, Amanda Chu, Chris Wang, Karen Ying-Chen Hu, Patrick Lee, Janel Tsai, Li-li Pan, Fu Lei",Taiwan,"September 1, 2016",2010,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",Beautiful Housewife Xie An Zhen Seems To Be Living The Perfect Life But Finds Her World Crumbling After Learning That Her Husband Is Cheating On Her.
5806,s5807,TV Show,Witches: A Century of Murder,"Raúl Campos, Jan Suter",Suzannah Lipscomb,United Kingdom,"September 1, 2016",2015,TV-14,1 Season,"British TV Shows, Crime TV Shows, Docuseries","Historian Suzannah Lipscomb Investigates The Witch Hunts That Plagued Britain In The 17Th Century, Examining Common Myths About Their Origin."
5807,s5808,TV Show,Glitter Force,"Raúl Campos, Jan Suter","Laura Bailey, Kate Higgins, Alex Cazares, Colleen O'Shaughnessey, Danielle Nicole, Debi Derryberry, Mary Elizabeth McGlynn, Patrick Seitz, Keith Silverstein",Japan,"August 26, 2016",2016,TV-Y7,2 Seasons,"Anime Series, Kids' TV",Five Preteen Girls Learn They'Re A Legendary Superhero Squad Known As The Glitter Force. Their Mission? To Defend Earth From Evil Fairy-Tale Villains.
5808,s5809,Movie,Jeff Foxworthy and Larry the Cable Guy: We’ve Been Thinking...,Jay Karas,"Jeff Foxworthy, Larry the Cable Guy",United States,"August 26, 2016",2016,TV-14,75 min,Stand-Up Comedy,Grammy-Nominated Comedians Jeff Foxworthy And Larry The Cable Guy Bring Their Distinctive Brand Of Humor To A Packed Crowd In Minneapolis.
5809,s5810,Movie,XOXO,Christopher Louie,"Sarah Hyland, Graham Phillips, Chris D'Elia, Hayley Kiyoko, Brett DelBuono, Ryan Hansen, Ian Anthony Dale, Ione Skye, Colin Woodell, LaMonica Garrett, Brianne Howey",United States,"August 26, 2016",2016,TV-MA,92 min,"Dramas, Music & Musicals","The Lives Of A Budding Dj, His Loyal Pal, A Hopeless Romantic, A Jaded Has-Been And A Troubled Couple Intersect At An Electronic Dance Music Festival."
5810,s5811,Movie,I'll Sleep When I'm Dead,Justin Krook,Steve Aoki,United States,"August 19, 2016",2016,TV-MA,80 min,"Documentaries, Music & Musicals","Superstar Dj Steve Aoki Reflects On The Driving Force Behind His Career: His Ambitious Father, Benihana Founder And Perennial Daredevil Rocky Aoki."
5811,s5812,TV Show,Behind Enemy Lines,"Raúl Campos, Jan Suter",Unknown,United States,"August 15, 2016",2001,TV-14,1 Season,"British TV Shows, Docuseries","After Dire Setbacks In 1940, Winston Churchill Commissions A New Kind Of Fighting Force: Commandos Trained To Use Stealth And Audacious Tactics."
5812,s5813,TV Show,Caught on Camera,"Raúl Campos, Jan Suter",Nick Wallis,United Kingdom,"August 15, 2016",2015,TV-MA,3 Seasons,"British TV Shows, Crime TV Shows, Docuseries","Nick Wallis Presents Crimes Caught On Cctv, Cell Phones And Other Devices And Reveals How Investigators Use The Recordings To Solve Tough Cases."
5814,s5815,Movie,Real Crime: Supermarket Heist (Tesco Bomber),"Raúl Campos, Jan Suter",Unknown,United Kingdom,"August 15, 2016",2010,TV-14,46 min,Documentaries,"In 2000, U.K. Detectives Spent Months Tracking A Criminal Known Only As Sally, Who Was Targeting A Supermarket Chain With Extortion And Letter Bombs."
5815,s5816,Movie,Jim Gaffigan: Beyond the Pale,Michael Drumm,Jim Gaffigan,United States,"August 11, 2016",2005,TV-14,72 min,Stand-Up Comedy,"Comedian Jim Gaffigan Cuts Loose On A Variety Of Topics, Including Hot Pockets, Holidays, Catholicism And His Favorite Activity: Doing Nothing."
5816,s5817,Movie,Jim Gaffigan: King Baby,Troy Miller,Jim Gaffigan,United States,"August 11, 2016",2009,TV-PG,71 min,Stand-Up Comedy,"Jim Gaffigan Offers Up His Take On Bacon, Bowling And Other Weighty Topics In This Stand-Up Performance Filmed Live In Austin On His 2008 Comedy Tour."
5817,s5818,Movie,Jim Gaffigan: Mr. Universe,Jay Karas,Jim Gaffigan,United States,"August 11, 2016",2012,TV-14,77 min,Stand-Up Comedy,"Funnyman Jim Gaffigan Offers Up His Unique Take On Everything From Disney World To Overweight Whales In This Live Show From Washington, D.C."
5818,s5819,Movie,Jim Gaffigan: Obsessed,Jay Chapman,Jim Gaffigan,United States,"August 11, 2016",2014,TV-14,70 min,Stand-Up Comedy,"Comic Jim Gaffigan Delivers His Sardonic Take On Topics Like Eating, Exercise, Weddings And His Five Kids In This Live Stand-Up Special."
5819,s5820,Movie,David Cross: Making America Great Again!,Alex Coletti,David Cross,United States,"August 5, 2016",2016,TV-MA,73 min,Stand-Up Comedy,"Cross Skewers Donald Trump, Religious Taboos And American Swagger In A Provocative Night Of Comedy At The Paramount Theatre In Austin, Texas."
5820,s5821,Movie,Lavell Crawford: Can a Brother Get Some Love?,Michael Drumm,Lavell Crawford,United States,"August 2, 2016",2011,TV-MA,81 min,Stand-Up Comedy,"""Last Comic Standing"" Runner-Up Lavell Crawford Lords Over A Hometown Crowd At St. Louis'S Orpheum Theatre, Raking In The Love – And The Laughs."
5821,s5822,Movie,Children of God,John Smithson,Unknown,United Kingdom,"August 1, 2016",1994,TV-MA,63 min,Documentaries,"A Former Member Examines The Lingering Effects Of Being Raised In The Family, A Cult Whose Disturbing Practices Include The Sexual Abuse Of Children."
5822,s5823,TV Show,Cocaine,"Raúl Campos, Jan Suter",Unknown,United Kingdom,"August 1, 2016",2005,TV-14,1 Season,"British TV Shows, Crime TV Shows, Docuseries","Three Films Chronicle The Cocaine Trade'S Sweeping Impact On The Citizens Of Peru, Brazil And Colombia, From Poor Farmers To Powerful Drug Lords."
5823,s5824,TV Show,Edge of the Universe,"Raúl Campos, Jan Suter",Unknown,United Kingdom,"August 1, 2016",2008,TV-G,1 Season,"British TV Shows, Docuseries, Science & Nature TV","Leading Astronomers Reveal The Latest Discoveries About Death-Trap Planets, Asteroids, Comets And Other Wonders Of The Cosmos."
5824,s5825,Movie,Interview with a Serial Killer,Christopher Martin,Arthur Shawcross,United States,"August 1, 2016",2008,TV-MA,45 min,Documentaries,"In This Jailhouse Interview, Arthur Shawcross, The Genesee River Killer, Shares Candid Details Of His Crimes And His Surprising Family Bonds."
5825,s5826,TV Show,La Esclava Blanca,"Raúl Campos, Jan Suter","Nerea Camacho, Orián Suárez, Miguel de Miguel, Modesto Lacen, Norma Martínez, Ricardo Vesga, Viña Machado, Andrés Suárez, Natasha Klauss, Miroslava Morales",Colombia,"August 1, 2016",2016,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas","In Colombia In 1821, A White Orphan Is Taken In By Black Slaves. Years After Being Torn From Them, She Returns To Find Her Family And Childhood Love."
5826,s5827,Movie,Real Crime: Diamond Geezers,Tom Whitter,Forbes KB,United Kingdom,"August 1, 2016",2008,TV-14,46 min,Documentaries,"In An Attempted Heist Worthy Of A Hollywood Film, A Cadre Of Criminals Sets Out To Steal The World'S Largest Perfect Diamond From A London Landmark."
5827,s5828,TV Show,LEGO Bionicle: The Journey to One,"Raúl Campos, Jan Suter","Nolan Balzer, Paolo Bryant, Jacqui Fox, Quinn Greene, Geoff Hughes, Cory Hunter, William Jordan, Corny Rempel, Michael Strickland",United States,"July 29, 2016",2016,TV-Y7,2 Seasons,Kids' TV,Six Legendary Heroes Find Themselves On An Epic Quest As They Harness The Power Of Nature'S Elements To Defeat The Forces Of Evil.
5828,s5829,Movie,Tallulah,Sian Heder,"Ellen Page, Allison Janney, Tammy Blanchard, Evan Jonigkeit, Uzo Aduba, John Benjamin Hickey, David Zayas, Zachary Quinto, Fredric Lehne",United States,"July 29, 2016",2016,TV-MA,112 min,"Dramas, Independent Movies","While Searching For Her Ex-Boyfriend, A Young Drifter Impulsively Kidnaps A Baby From A Neglectful Mother And Pretends The Child Is Her Own."
5829,s5830,TV Show,Popples,"Raúl Campos, Jan Suter","Erin Fitzgerald, Wendee Lee, Cassandra Morris, Cindy Robinson, Reba Buhr, Ben Diskin, Ezra Weisz, Karen Strassman","United States, France","July 24, 2016",2016,TV-Y,3 Seasons,Kids' TV,"The Adorable Best Popple Pals Love Helping Their Friends And Neighbors, But Every Time They Do It Seems To Backfire In Hilarious Ways."
5830,s5831,Movie,Rebirth,Karl Mueller,"Fran Kranz, Adam Goldberg, Nicky Whelan, Luis Gerardo Méndez, Harry Hamlin, Pat Healy, Kat Foster, Andrew J. West, Eric Ladin, Steve Agee",United States,"July 15, 2016",2016,TV-MA,101 min,"Dramas, Thrillers","Long-Lost Buddy Zack Gets Suburban Dad Kyle On A Bus To A Rebirth Seminar, Sending Him Down A Rabbit Hole Of Psychodrama, Seduction And Violence."
5831,s5832,Movie,Tony Robbins: I Am Not Your Guru,Joe Berlinger,Tony Robbins,United States,"July 15, 2016",2016,TV-MA,117 min,Documentaries,Tony Robbins' Clients Swear By His Unorthodox Life Coaching Methods. A Revealing Film Goes Behind The Curtain At His Annual Mega-Event.
5832,s5833,Movie,Gridlocked,Allan Ungar,"Dominic Purcell, Cody Hackman, Stephen Lang, Trish Stratus, Danny Glover, Vinnie Jones, Saul Rubinek, Richard Gunn, Steve Byers, James A. Woods",Canada,"July 14, 2016",2015,R,114 min,Action & Adventure,"An Embittered Cop Is Tasked With Baby-Sitting A Spoiled Actor, But The Two Must Learn To Fight Together When They Run Afoul Of A Group Of Mercenaries."
5833,s5834,Movie,Brahman Naman,Qaushiq Mukherjee,"Shashank Arora, Tanmay Dhanania, Chaitanya Varad, Vaishwath Shankar, Sindhu Sreenivasa Murthy, Sid Mallya, Denzil Smith","India, United Kingdom","July 6, 2016",2016,TV-MA,96 min,"Comedies, Independent Movies, International Movies",This Homage To 1980S Teen Sex Comedies Follows A College Quiz Bowl Champion Who Knows Almost Everything – Except How To Talk To Women.
5834,s5835,TV Show,Kuromukuro,Tensai Okamura,"Yohei Azakami, M・A・O, Reina Ueda, Asami Seto, Kaito Ishikawa, Yusuke Kobayashi, Shunsuke Takeuchi, Manami Sugihira, Momo Asakura, Kanako Tojo, Ryohei Kimura, Hikaru Ueda, Taiten Kusunoki",Japan,"July 4, 2016",2016,TV-14,2 Seasons,"Anime Series, International TV Shows","When Mecha Attack A Research Center, Its Students, Pilots, And Researchers Must Fight Back With The Help Of Mysterious Artifacts And A Young Samurai."
